"unique_ID","species","Long","Lat","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
182,"Eucalyptus cernua",120.366111111111,-33.6961111111111,"167","118","55","3514","286","72","214","131","211","211","122","491","60","21","35","174","73","73","170"
184,"Eucalyptus platypus subsp. congregata",119.938055555556,-33.5466666666667,"161","124","54","3729","290","61","229","123","195","208","114","411","49","17","28","137","67","70","136"
185,"Eucalyptus improcera",119.925555555556,-33.5463888888889,"161","124","54","3729","290","61","229","123","195","208","114","411","49","17","28","137","67","70","136"
186,"Eucalyptus goniocarpa",119.704444444444,-33.1336111111111,"163","130","52","4202","303","55","248","110","203","216","110","374","46","16","31","131","58","62","131"
187,"Eucalyptus subtilis",119.268611111111,-33.0955555555556,"162","133","51","4407","308","51","257","116","205","219","107","360","48","15","34","132","56","61","130"
188,"Eucalyptus mimica subsp. mimica",119.223055555556,-33.2011111111111,"163","132","52","4337","307","54","253","119","205","219","109","358","48","15","34","130","57","60","129"
190,"Eucalyptus flocktoniae subsp. flocktoniae",119.312222222222,-33.2911111111111,"161","130","52","4228","303","53","250","118","202","215","108","365","47","16","32","129","60","62","129"
191,"Eucalyptus pileata",119.312222222222,-33.2911111111111,"161","130","52","4228","303","53","250","118","202","215","108","365","47","16","32","129","60","62","129"
192,"Eucalyptus desmondensis x E. occidentalis",120.136388888889,-33.6183333333333,"163","122","54","3632","288","65","223","126","208","208","117","456","53","19","29","154","75","75","150"
192,"Eucalyptus desmondensis",120.136388888889,-33.6183333333333,"163","122","54","3632","288","65","223","126","208","208","117","456","53","19","29","154","75","75","150"
193,"Eucalyptus clivicola",120.187777777778,-33.7008333333333,"166","120","55","3556","287","69","218","130","210","210","121","474","57","19","33","165","73","73","160"
194,"Eucalyptus astringens subsp. redacta",120.187777777778,-33.7008333333333,"166","120","55","3556","287","69","218","130","210","210","121","474","57","19","33","165","73","73","160"
195,"Eucalyptus uncinata subsp. uncinata",120.191111111111,-33.7347222222222,"168","119","54","3500","288","71","217","132","211","211","123","480","59","19","34","170","71","71","164"
196,"Eucalyptus phaenophylla (subsp. interjacens)",120.191111111111,-33.7347222222222,"168","119","54","3500","288","71","217","132","211","211","123","480","59","19","34","170","71","71","164"
197,"Eucalyptus suggrandis subsp. suggrandis",120.191111111111,-33.7347222222222,"168","119","54","3500","288","71","217","132","211","211","123","480","59","19","34","170","71","71","164"
198,"Eucalyptus ecostata",120.293055555556,-33.8113888888889,"169","117","55","3426","285","74","211","134","211","211","125","510","65","20","38","186","71","71","180"
199,"Eucalyptus litorea (E. famelica)",120.4325,-33.7977777777778,"168","116","55","3385","283","75","208","134","210","211","125","519","66","21","38","190","72","73","186"
200,"Eucalyptus adesmophloia - E. obesa intergrade (E. communalis)",119.825555555556,-33.9847222222222,"166","117","54","3414","284","71","213","132","209","209","123","500","62","18","37","178","69","69","178"
200,"Eucalyptus adesmophloia - E. obesa intergrade (E. communalis)",119.825555555556,-33.8502777777778,"167","119","54","3494","288","70","218","132","211","211","123","466","57","17","35","162","67","67","162"
201,"Eucalyptus vegrandis subsp. vegrandis",118.769722222222,-33.9544444444444,"155","121","53","3856","284","56","228","116","204","204","107","396","52","16","36","146","59","59","141"
202,"Eucalyptus xanthonema",118.769722222222,-33.9544444444444,"155","121","53","3856","284","56","228","116","204","204","107","396","52","16","36","146","59","59","141"
203,"Eucalyptus captiosa ",118.713888888889,-33.9547222222222,"154","121","52","3875","284","55","229","115","203","203","106","393","52","16","37","146","59","59","141"
203,"Eucalyptus captiosa ",118.713888888889,-31.3772222222222,"175","138","47","5436","335","47","288","117","200","245","107","321","54","12","49","139","40","50","134"
204,"Eucalyptus sporadica",118.702222222222,-33.9541666666667,"153","121","52","3869","284","54","230","115","203","203","105","390","51","16","36","144","60","60","140"
205,"Eucalyptus dissimulata",118.702222222222,-33.9541666666667,"153","121","52","3869","284","54","230","115","203","203","105","390","51","16","36","144","60","60","140"
206,"Eucalyptus annulata",119.045277777778,-34.0725,"158","119","54","3591","281","62","219","123","204","204","114","469","59","19","36","164","67","67","162"
207,"Eucalyptus vegrandis subsp. vegrandis",119.045277777778,-34.0725,"158","119","54","3591","281","62","219","123","204","204","114","469","59","19","36","164","67","67","162"
208,"Eucalyptus platypus subsp. platypus",119.045277777778,-34.0725,"158","119","54","3591","281","62","219","123","204","204","114","469","59","19","36","164","67","67","162"
210,"Eucalyptus redunca subsp. porphyrea",118.753611111111,-34.3511111111111,"155","114","55","3303","268","64","204","115","197","197","114","501","65","18","38","172","67","67","168"
211,"Eucalyptus melanophitra",118.670277777778,-34.3338888888889,"157","114","55","3320","270","65","205","117","199","199","116","491","63","17","39","171","63","63","167"
212,"Eucalyptus newbeyi",118.875833333333,-34.4533333333333,"158","112","56","3183","268","68","200","128","198","198","119","553","69","20","39","196","70","71","194"
213,"Eucalyptus praetermissa",118.875833333333,-34.4533333333333,"158","112","56","3183","268","68","200","128","198","198","119","553","69","20","39","196","70","71","194"
214,"Eucalyptus astringens subsp. redacta",118.875833333333,-34.4533333333333,"158","112","56","3183","268","68","200","128","198","198","119","553","69","20","39","196","70","71","194"
215,"Eucalyptus utilis",118.875833333333,-34.4533333333333,"158","112","56","3183","268","68","200","128","198","198","119","553","69","20","39","196","70","71","194"
216,"Eucalyptus adesmophloia",118.88,-34.4272222222222,"158","112","56","3183","268","68","200","128","198","198","119","553","69","20","39","196","70","71","194"
217,"Eucalyptus preissiana subsp. preissiana",118.813333333333,-34.3758333333333,"156","113","55","3245","268","66","202","117","197","197","116","523","67","18","39","182","67","69","179"
218,"Eucalyptus neutra",118.736944444444,-34.3955555555556,"158","113","56","3217","269","68","201","119","199","199","118","519","66","18","39","181","66","68","178"
